title,link
غزلیات,https://ganjoor.net//hafez/ghazal/
مثنوی (الا ای آهوی وحشی ...),https://ganjoor.net//hafez/masnavi/
ساقی نامه (مثنوی),https://ganjoor.net//hafez/saghiname/
قطعات,https://ganjoor.net//hafez/ghete/
رباعیات,https://ganjoor.net//hafez/robaee2/
قصاید,https://ganjoor.net//hafez/ghaside/
اشعار منتسب,https://ganjoor.net//hafez/montasab/
اوزان دیوان حافظ,https://ganjoor.net//hafez/vazn/
استقبالهای حافظ از سعدی,https://ganjoor.net//hafez/saadi/
استقبالهای حافظ از سلمان ساوجی,https://ganjoor.net//hafez/salman/
استقبالهای حافظ از خواجوی کرمانی,https://ganjoor.net//hafez/khajoo/
استقبالهای حافظ از اوحدی,https://ganjoor.net//hafez/ouhadi/
استقبالهای ابن حسام از حافظ,https://ganjoor.net//ebnehesam/hafez/
مقدّمهٔ جمع آورندهٔ دیوان حافظ,https://ganjoor.net//hafez/dibache
