title,link
این رباعی,https://ganjoor.net//amir/robam/sh174/
این رباعی,https://ganjoor.net//amir/robam/sh98/
مرثیه‌ای که سنایی در مرگ معزی گفته,https://ganjoor.net//sanaee/divans/ghgh/sh14/
متهم کرده است,https://ganjoor.net//anvari/divan-anvari/ghaside-anvari/sh36/
قصاید,https://ganjoor.net//amir/ghasa/
ترکیبات,https://ganjoor.net//amir/taram/
ترجیعات,https://ganjoor.net//amir/tarjam/
مسمط,https://ganjoor.net//amir/mosammat/
غزلیات,https://ganjoor.net//amir/ghazam/
قطعات,https://ganjoor.net//amir/ghatam/
رباعیات,https://ganjoor.net//amir/robam/
